localidad,lat_centro,lon_centro
Peñaflor,37.7084447,-5.3457347
Peñarroya-Pueblonuevo,38.3026178,-5.2714828
Peñolite,38.3251228,-2.7976189
Picena,37.0002898,-3.0058073
Pilar de Jaravía,37.3939432,-1.6921183
Pilas,37.3012094,-6.3027773
Pinos Genil,37.1599168,-3.5052506
Pinos del Valle,36.9129848,-3.5545946
Pitres,36.9357242,-3.3259562
Pizarra,36.766795,-4.707687
Piñar,37.4424506,-3.440416
Playa del Sol Villacana,36.4551789,-5.0474141
Playas de Vera,37.2088144,-1.8090222
Poblado de Sancti Petri,36.3926735,-6.2072744
Polopos,36.7950131,-3.2972924
Polvillar,37.9536093,-3.8053145
Pontones,38.118434,-2.6702215
Pontón Alto,38.1159391,-2.6863355
Porcuna,37.8710423,-4.1842853
Posadas,37.8017289,-5.107031
Pozo Alcón,37.7026954,-2.9350566
Pozoblanco,38.3780204,-4.848573
Prado del Rey,36.7879415,-5.5572276
Prados de Armijo,38.2969035,-2.8320936
Priego de Córdoba,37.4384292,-4.1980422
Pruna,36.972407,-5.2213568
Puebla de Don Fadrique,37.9578472,-2.4348912
